"year","areaTotal_ha","areaZone_ha","zone"
1996,341.719818482,341.719818482,"G10"
1996,9889.51392315,9883.03597086,"G5"
1996,3983.88970687,3748.12737193,"G5"
1996,35.2689283598,35.2689283598,"G4"
1996,1877.50083295,1877.5008329574,"G4"
1996,467.25277452,467.252774519,"G5"
1996,24.6261863268,24.6261863267,"G6"
1996,350.602634962,350.602634962,"G6"
1996,48.0825368923,48.0825368923,"G5"
1996,39.9353968316,39.9353968315,"G5"
1996,2119.98330908,912.1307390292,"G5"
1996,27.8295185157,27.8295185157,"G5"
1996,35.1480183269,35.1480183268378,"G5"
1996,7971.4251092,7971.4251092,"G3"
1996,2883.17451818,2883.17451818144,"G5"
1996,29.8795770864,29.8795770863,"G9"
1996,102.561482154,102.561482154463,"G5"
1996,315.630119799,315.6301197989,"G4"
1996,38.0925901716,38.0925901717,"G3"
1996,1758.03413034,1175.3369640045,"G1"
1996,852.585372543,852.5853725434,"G4"
1996,58198.0601213,34337.542465478,"G1"
1996,125.740347121,125.7403471206,"G7"
1996,67.0199630547,67.0199630545,"G3"
1996,82.3557505904,82.3557505906,"G4"
1996,12499.9046412,12499.9046412172,"G3"
1996,38.2194873413,38.2194873413,"G8"
1996,130.504655449,130.504655449,"G3"
1996,3610.67625716,3297.52111793141,"G4"
1996,18533.4169514,18099.6488992303,"G1"
1996,967.792373379,967.792373379,"G5"
1996,1244.97199758,1244.971997584,"G4"
1996,1381.39034624,1381.3903462435,"G5"
1996,327.541893556,327.541893556068,"G4"
1996,46.1742449417,46.1742449417,"G8"
1996,586.151908302,586.15190830175,"G4"
1996,4025.27099317,4025.27099317229,"G4"
1996,12232.5661892,12206.1123431266,"G4"
1996,293.366343217,293.36634321656,"G1"
1996,2356.76330682,2356.7633068146,"G4"
1996,787.887012181,787.886978574398,"G7"
1996,267.31385515,267.31385515,"G6"
1996,6046.65450106,5241.7763984011,"G3"
1996,1280.62332846,1280.62332846,"G6"
1996,1511.27572767,1511.27572577622,"G5"
1996,7450.34084634,7450.34084634,"G5"
1996,304.867670604,304.867668686222,"G5"
1996,15467.8255805,11118.8729124605,"G4"
1996,2036.29910505,2036.29910505,"G5"
1996,9353.56566411,7368.5263784626,"G4"
1996,2402.45062826,2402.45062826,"G6"
1996,7420.70260563,5788.35695927,"G4"
1996,1869.65438857,1869.384095411,"G3"
1996,320.947624077,320.947624076,"G5"
1996,143.949884429,143.949884429,"G5"
1996,315.319895471,315.31989547099,"G5"
1996,764.827870695,764.82787069499,"G6"
1996,39.053353198,39.0533531979,"G5"
1996,240.273866785,240.273866785,"G5"
1996,1963.39194238,1963.391942373,"G8"
1996,876.762068658,876.7620686559,"G5"
1996,976.30027577,976.30027577,"G4"
1996,112.844807149,112.844807149,"G8"
1996,644.638275097,644.638275097,"G8"
1996,9549.03816892,6287.69642487996,"G6"
1996,1318.54800842,1318.548008424,"G6"
1996,613.229518777,613.229518776,"G5"
1996,17964.4168467,14508.4591272,"G5"
1996,2790.60759201,2632.01030945,"G5"
1996,12889.95705,10986.7993403986,"G3"
1996,5881.8960195,5881.89601950109,"G3"
1997,104.529291257,104.5292912571,"G1"
1997,487.079368622,487.0793686215,"G1"
1997,944.92082426,944.9208242598,"G4"
1997,3918.22673027,3918.22673027,"G5"
1997,1487.90581643,1487.90581642,"G5"
1997,81.5158995223,81.51589952241,"G3"
1997,275.469059417,275.469059417,"G3"
1997,1008.21741363,1008.21741363,"G3"
1997,4097.23557236,2840.06545760928,"G3"
1997,240.466681084,240.466681083,"G4"
1997,36.3227002823,36.3227002823,"G4"
1997,48.3623045609,48.3623045611,"G6"
