"ID_PE","suivi","DOM_BIO","TYPE_COUV","GR_ESS","CL_AGE","DEP_SUR","CL_DRAI","den","ST","denPIG","STPIG","denEPN","STEPN","DQM","denRel2sp","codSol","codSOl","esse"
103307701,"PET3","6","R","ES","120","1A",30,1850,27.896,0,0,0.567567567567568,0.635431603097218,138.560729860313,0.567567567567568,"Tills","Tills","EPN"
103307702,"PET3","6","R","ES","120","1A",30,1275,23.435,0,0,1,1,152.979221274844,1,"Tills","Tills","EPN"
103307703,"PET3","6","R","ES","120","1A",30,1050,18.74,0,0,0.976190476190476,0.989541088580576,150.745793807977,0.976190476190476,"Tills","Tills","EPN"
103307704,"PET3","6","R","EE","070","1BP",30,975,15.141,0,0,0.897435897435897,0.92431147216168,140.614475480665,0.897435897435897,"Tills","Tills","EPN"
103307801,"PET3","6","R","EE","090","1A",30,1275,14.403,0.627450980392157,0.642296743733944,0.372549019607843,0.357703256266056,119.929617146387,1,"Tills","Tills","PIG"
103307802,"PET3","6","R","EE","120","1A",30,800,10.203,0,0,0.9375,0.912966774478095,127.430682504906,0.9375,"Tills","Tills","EPN"
103307803,"PET3","6","R","EE","120","1A",30,1375,23.978,0,0,1,1,149.008206738384,1,"Tills","Tills","EPN"
103307804,"PET3","6","R","EE","120","1A",30,1075,18.15,0.0697674418604651,0.0977961432506887,0.930232558139535,0.902203856749311,146.618624842292,1,"Tills","Tills","EPN"
103307901,"PET3","6","R","EE","090","1A",40,1750,35.942,0,0,1,1,161.710103433576,1,"Tills","Tills","EPN"
103307902,"PET3","6","R","EE","090","1A",40,2175,34.699,0,0,0.977011494252874,0.962880774662094,142.522656336063,0.977011494252874,"Tills","Tills","EPN"
103307903,"PET3","6","R","EE","090","1A",40,300,4.154,0.25,0.368560423688012,0.75,0.631439576311989,132.778475525087,1,"Tills","Tills","EPN"
103307904,"PET3","6","R","EE","090","1A",40,800,9.463,0.15625,0.24896967135158,0.84375,0.75103032864842,122.722582537959,1,"Tills","Tills","EPN"
103308001,"PET3","6","R","EE","090","1A",30,1675,40.627,0,0,0.985074626865672,0.980677874320033,175.733690963557,0.985074626865672,"Tills","Tills","EPN"
103308002,"PET3","6","R","EE","090","1A",30,1900,45.999,0,0,0.881578947368421,0.884258353442466,175.5708671108,0.881578947368421,"Tills","Tills","EPN"
103308101,"PET3","6","R","EE","120","2BE",30,775,9.684,0,0,1,1,126.133834458152,1,"Sables Mésiques","Sables Mésiques","EPN"
103308102,"PET3","6","R","EE","120","2BE",30,800,10.116,0,0,1,1,126.886224796769,1,"Sables Mésiques","Sables Mésiques","EPN"
103308103,"PET3","6","R","EE","120","2BE",30,475,5.803,0,0,1,1,124.719551314967,1,"Sables Mésiques","Sables Mésiques","EPN"
103308104,"PET3","6","R","EE","120","2BE",30,1025,15.708,0,0,1,1,139.686222477205,1,"Sables Mésiques","Sables Mésiques","EPN"
103308201,"PET3","6","R","EE","120","1A",30,1425,17.592,0,0,0.947368421052632,0.961573442473852,125.373351406085,0.947368421052632,"Tills","Tills","EPN"
103308202,"PET3","6","R","EE","120","1A",30,1075,13.453,0,0,0.906976744186046,0.889690031963131,126.229365231753,0.906976744186046,"Tills","Tills","EPN"
103308203,"PET3","6","R","EE","120","1A",30,750,14.294,0,0,1,1,155.776275696673,1,"Tills","Tills","EPN"
103308204,"PET3","6","R","EE","120","1A",30,750,7.995,0,0,1,1,116.50207529,1,"Tills","Tills","EPN"
103308401,"PET3","6","R","EPG","070","2A",20,725,11.436,0.655172413793103,0.585169639734173,0.344827586206897,0.414830360265827,141.71738478317,1,"Sables Mésiques","Sables Mésiques","PIG"
103308402,"PET3","6","R","EPG","070","2A",20,1325,22.651,0.0188679245283019,0.012493929627831,0.981132075471698,0.987506070372169,147.533555959944,1,"Sables Mésiques","Sables Mésiques","EPN"
